,x,y,full_ids,taxa,kos,time_rank,new_tax,path,tax_group,cluster,x_rot,y_rot
1,-2.84910151483868,-2.43168790943087,Dinophyta_K01613,Dinophyta,K01613,3,Dinophyta,other,eukaryotic,Morning,3.35548801794832,-2.94079584009082
2,-3.86163983161025,-1.14744946322116,Dinophyta_K06207,Dinophyta,K06207,3,Dinophyta,other,eukaryotic,Morning,4.61856882673643,-1.87877010179305
3,-3.41181828443787,-1.99291913266758,Dinophyta_K08956,Dinophyta,K08956,3,Dinophyta,other,eukaryotic,Morning,4.00380432949688,-2.62023847812583
4,-2.61541339162585,-3.20323505628354,Dinophyta_K01845,Dinophyta,K01845,4,Dinophyta,Porphyrin and chlorophyll metabolism,eukaryotic,Morning,2.97127851340537,-3.65192763365209
5,3.41839896534395,-0.468082581556777,Dinophyta_K09563,Dinophyta,K09563,5,Dinophyta,other,eukaryotic,Dusk,-2.52893206650677,0.207808048924519
6,2.24039755352724,-2.62936608608734,Dinophyta_K03242,Dinophyta,K03242,5,Dinophyta,other,eukaryotic,Afternoon,-1.77257614955708,-2.14176367386414
7,-3.90834586177705,-0.723730586184481,Dinophyta_K01049,Dinophyta,K01049,3,Dinophyta,other,eukaryotic,Morning,4.74793830906863,-1.47230475863183
8,2.59010678124186,2.21627460642544,Dinophyta_K11251,Dinophyta,K11251,6,Dinophyta,other,eukaryotic,Dusk,-1.17694777419492,2.67899427732217
9,-1.7057777464103,-3.15756832908096,Dinophyta_K08913,Dinophyta,K08913,5,Dinophyta,other,eukaryotic,Morning,2.0705520047052,-3.42967726886516
10,-2.79553271392159,-2.5243990627854,Dinophyta_K02641,Dinophyta,K02641,4,Dinophyta,Photosynthesis,eukaryotic,Morning,3.2838321682688,-3.02127482000921
11,3.18153550217214,-1.1006911717887,Dinophyta_K17200,Dinophyta,K17200,5,Dinophyta,other,eukaryotic,Dusk,-2.41548441691348,-0.458854913935633
12,3.37825998567194,-1.26983555020615,Dinophyta_K15427,Dinophyta,K15427,6,Dinophyta,other,eukaryotic,Dusk,-2.64520733166595,-0.58637018771599
